strain,phage,interaction
ERS739095,K1PH164C1,1
sampleK3,K1PH164C1,0
sampleK4,K1PH164C1,0
ERS812516,K1PH164C1,0
ERS739094,K1PH164C1,0
ERS706552,K1PH164C1,0
ERS523587,K1PH164C1,0
ERS747603,K1PH164C1,0
ERS706553,K1PH164C1,0
ERS659571,K1PH164C1,0
ERS706554,K1PH164C1,0
ERS706555,K1PH164C1,0
ERS743101,K1PH164C1,0
ERS799795,K1PH164C1,0
ERS799796,K1PH164C1,0
ERS764450,K1PH164C1,0
ERS764451,K1PH164C1,0
ERS686707,K1PH164C1,0
ERS523588,K1PH164C1,0
ERS715468,K1PH164C1,0
ERS747612,K1PH164C1,0
ERS685293,K1PH164C1,0
ERS799797,K1PH164C1,0
ERS702127,K1PH164C1,0
ERS715399,K1PH164C1,0
ERS701896,K1PH164C1,0
ERS736962,K1PH164C1,0
ERS686708,K1PH164C1,0
ERS715409,K1PH164C1,0
ERS686709,K1PH164C1,0
ERS764452,K1PH164C1,0
ERS799798,K1PH164C1,0
ERS715410,K1PH164C1,0
ERS686710,K1PH164C1,0
ERS686711,K1PH164C1,0
ERS685294,K1PH164C1,0
ERS747611,K1PH164C1,0
ERS744787,K1PH164C1,0
ERS702128,K1PH164C1,0
ERS715469,K1PH164C1,0
ERS715470,K1PH164C1,0
ERS715471,K1PH164C1,0
ERS706556,K1PH164C1,0
ERS718583,K1PH164C1,0
ERS715400,K1PH164C1,0
ERS702129,K1PH164C1,0
ERS523589,K1PH164C1,0
ERS715401,K1PH164C1,0
ERS715472,K1PH164C1,0
ERS702130,K1PH164C1,0
ERS685295,K1PH164C1,0
ERS718584,K1PH164C1,0
ERS702131,K1PH164C1,0
ERS686706,K1PH164C1,0
ERS702132,K1PH164C1,0
ERS702133,K1PH164C1,0
ERS715473,K1PH164C1,0
ERS659577,K1PH164C1,0
ERS659578,K1PH164C1,0
ERS659579,K1PH164C1,0
ERS659580,K1PH164C1,0
ERS659581,K1PH164C1,0
ERS739095,K2PH164C1,0
sampleK3,K2PH164C1,1
sampleK4,K2PH164C1,0
ERS812516,K2PH164C1,0
ERS739094,K2PH164C1,0
ERS706552,K2PH164C1,0
ERS523587,K2PH164C1,0
ERS747603,K2PH164C1,0
ERS706553,K2PH164C1,0
ERS659571,K2PH164C1,0
ERS706554,K2PH164C1,0
ERS706555,K2PH164C1,0
ERS743101,K2PH164C1,0
ERS799795,K2PH164C1,0
ERS799796,K2PH164C1,0
ERS764450,K2PH164C1,0
ERS764451,K2PH164C1,0
ERS686707,K2PH164C1,0
ERS523588,K2PH164C1,0
ERS715468,K2PH164C1,0
ERS747612,K2PH164C1,0
ERS685293,K2PH164C1,0
ERS799797,K2PH164C1,0
ERS702127,K2PH164C1,0
ERS715399,K2PH164C1,0
ERS701896,K2PH164C1,0
ERS736962,K2PH164C1,0
ERS686708,K2PH164C1,0
ERS715409,K2PH164C1,0
ERS686709,K2PH164C1,0
ERS764452,K2PH164C1,0
ERS799798,K2PH164C1,0
ERS715410,K2PH164C1,0
ERS686710,K2PH164C1,0
ERS686711,K2PH164C1,0
ERS685294,K2PH164C1,0
ERS747611,K2PH164C1,0
ERS744787,K2PH164C1,0
ERS702128,K2PH164C1,0
ERS715469,K2PH164C1,0
ERS715470,K2PH164C1,0
ERS715471,K2PH164C1,0
ERS706556,K2PH164C1,0
ERS718583,K2PH164C1,0
ERS715400,K2PH164C1,0
ERS702129,K2PH164C1,0
ERS523589,K2PH164C1,0
ERS715401,K2PH164C1,0
ERS715472,K2PH164C1,0
ERS702130,K2PH164C1,0
ERS685295,K2PH164C1,0
ERS718584,K2PH164C1,0
ERS702131,K2PH164C1,0
ERS686706,K2PH164C1,0
ERS702132,K2PH164C1,0
ERS702133,K2PH164C1,0
ERS715473,K2PH164C1,0
ERS659577,K2PH164C1,0
ERS659578,K2PH164C1,0
ERS659579,K2PH164C1,0
ERS659580,K2PH164C1,0
ERS659581,K2PH164C1,0
ERS739095,K2PH164C2,0
sampleK3,K2PH164C2,1
sampleK4,K2PH164C2,0
ERS812516,K2PH164C2,0
ERS739094,K2PH164C2,0
ERS706552,K2PH164C2,0
ERS523587,K2PH164C2,0
ERS747603,K2PH164C2,0
ERS706553,K2PH164C2,0
ERS659571,K2PH164C2,0
ERS706554,K2PH164C2,0
ERS706555,K2PH164C2,1
ERS743101,K2PH164C2,0
ERS799795,K2PH164C2,0
ERS799796,K2PH164C2,0
ERS764450,K2PH164C2,0
ERS764451,K2PH164C2,0
ERS686707,K2PH164C2,0
ERS523588,K2PH164C2,0
ERS715468,K2PH164C2,0
ERS747612,K2PH164C2,0
ERS685293,K2PH164C2,0
ERS799797,K2PH164C2,0
ERS702127,K2PH164C2,0
ERS715399,K2PH164C2,0
ERS701896,K2PH164C2,0
ERS736962,K2PH164C2,0
ERS686708,K2PH164C2,0
ERS715409,K2PH164C2,0
ERS686709,K2PH164C2,0
ERS764452,K2PH164C2,0
ERS799798,K2PH164C2,0
ERS715410,K2PH164C2,0
ERS686710,K2PH164C2,0
ERS686711,K2PH164C2,0
ERS685294,K2PH164C2,0
ERS747611,K2PH164C2,0
ERS744787,K2PH164C2,0
ERS702128,K2PH164C2,0
ERS715469,K2PH164C2,0
ERS715470,K2PH164C2,0
ERS715471,K2PH164C2,0
ERS706556,K2PH164C2,0
ERS718583,K2PH164C2,0
ERS715400,K2PH164C2,0
ERS702129,K2PH164C2,0
ERS523589,K2PH164C2,0
ERS715401,K2PH164C2,0
ERS715472,K2PH164C2,0
ERS702130,K2PH164C2,0
ERS685295,K2PH164C2,0
ERS718584,K2PH164C2,0
